lon,lat,administrado,unidad,subsector,riesgo,peligro,vulnerabilidad,pasivo_minero,pasivo_hidrocarburo,conflicto_socioamb
-70.83552,-15.24819,ARUNTANI S.A.C.; MINISTERIO DE ENERGIA Y MINAS,Arasi,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Alto
-78.60681,-6.76687,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales Mineros de la Ex Unidad Minera La Pastora,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-75.08364,-13.1679,CASTROVIRREYNA COMPAÑIA MINERA S.A. EN LIQUIDACION,Pasivos Ambientales Mineros de la Mina Astohuaraca,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-78.46954,-7.58602,COMPAÑIA MINERA SAYAPULLO S. A. EN LIQUIDACION,Pasivos Ambientales Mineros Sayapullo,Minería,Alto,Alto,Alto,6-10,Sin pasivo,Sin conflicto
-78.65765,-6.73189,KORI ANTA S.A.C.,Pasivos Ambientales Mineros de la parte alta de la microcuenca El Tingo - Concesión Minera Tres Mosqueteros,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.41589,-10.48312,ACTIVOS MINEROS S.A.C.,Túnel Pucará y Bocamina Azalia de la Mina Goyllarisquizga,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-76.9732,-10.21655,CIA MINERA SANTA LUISA S A,Pallca,Minería,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-76.05042,-11.98359,SMC MINERA TOROPUNTO S.A.C.,Patygin,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-77.09935,-9.80672,NYRSTAR ANCASH S.A.,Pucarrajo,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-78.58673,-6.74887,CENTRO DE INVESTIGACION Y ESTUDIOS MINERO AMBIENTAL S.A.C - CIEMAM S.A.C.,Pasivos Ambientales Mineros de la Unidad Minera Colquirrumi - Área Hualgayoc,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-75.06453,-12.71375,NEXA RESOURCES PERU S.A.A.,Pukaqaqa Norte,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.51331,-12.63699,COMPAñIA MINERA CONDESTABLE S.A.,Punta Colorada,Minería,Alto,Bajo,Muy alto,0,Sin pasivo,Sin conflicto
-77.58469,-9.42351,MINERA BARRICK PERU S.A.,Pierina,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-77.49233,-9.78461,COMPAÑIA MINERA LINCUNA S.A.,Pasivos Ambientales Mineros de la Unidad Minera Lincuna Dos,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-77.49948,-9.8294,COMPAÑIA MINERA LINCUNA S.A.,Pasivos Ambientales Mineros de la Unidad Minera Lincuna Tres,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-77.53207,-9.73468,COMPAÑIA MINERA LINCUNA S.A.,Pasivos Ambientales Mineros de la Unidad Minera Lincuna Uno,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-70.57439,-16.98114,ANGLO AMERICAN QUELLAVECO S.A.,Quellaveco,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-74.95811,-12.83174,SOCIEDAD MINERA EL BROCAL S.A.A.,Pasivos Ambientales Mineros de la Unidad Minera Santa Bárbara,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-78.5985,-6.75195,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales de la Ex Unidad Los Negros,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-78.59294,-6.75275,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales Mineros de las 5 Relaveras de El Dorado,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-72.50398,-15.24626,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Poracota,Minería,Alto,Alto,Alto,0,Sin pasivo,Medio
-76.69972,-10.54623,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Pozo Rico - Marisol,Minería,Alto,Moderado,Alto,6-10,Sin pasivo,Sin conflicto
-76.24979,-10.67756,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales de Origen Minero en el Río San Juan y Delta Upamayo,Minería,Alto,Moderado,Muy alto,11-más,Sin pasivo,Sin conflicto
-73.77091,-14.31412,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Pasivos Ambientales Mineros Ayacucho,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-76.24979,-10.67756,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales Mineros del Depósito de Desmonte Excelsior,Minería,Alto,Alto,Muy alto,11-más,Sin pasivo,Medio
-77.07846,-9.92246,ICM PACHAPAQUI S.A.C.,Pachapaqui,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-78.33277,-7.03216,ACTIVOS MINEROS S.A.C.,Pasivos Ambientales Mineros del Proyecto Michiquillay,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-74.57559,-13.08666,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Pasivos Ambientales Mineros Lircay,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.87405,-10.69801,MINERA CRC SOCIEDAD ANONIMA CERRADA,Mallay,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-77.30693,-8.17936,COMPAñIA MINERA CARAVELI S.A.C.,La Estrella,Minería,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-71.3144,-17.66515,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Fundición y Refinería de Cobre - Ilo,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-79.12515,-6.36346,MINERA LA GRANJA S.A.C.,La Granja,Minería,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-76.30394,-10.7823,SOCIEDAD MINERA EL BROCAL S.A.A.,Marcapunta Norte,Minería,Alto,Bajo,Muy alto,11-más,Sin pasivo,Sin conflicto
-76.20348,-11.61216,CIA MINERA LAS CAMELIAS S A,Ichu,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-72.33972,-15.28075,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Orcopampa,Minería,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-78.40398,-6.91638,MINERA YANACOCHA S.R.L.,Conga,Minería,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-77.59545,-7.76142,CIA MINERA PODEROSA S A,Poderosa,Minería,Alto,Alto,Muy alto,1-5,Sin pasivo,Sin conflicto
-73.24933,-14.93905,COMPANIA MINERA ARES S.A.C.,Inmaculada,Minería,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-76.74357,-10.82251,EMPRESA MINERA LOS QUENUALES S.A.,Iscaycruz,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.46645,-11.01563,COMPAÑIA MINERA CHUNGAR S.A.C.,Islay,Minería,Alto,Moderado,Alto,6-10,Sin pasivo,Sin conflicto
-78.08816,-7.96905,M & M PINO CONTRATISTAS GENERALES S.A.C.,El Dorado,Minería,Alto,Alto,Moderado,1-5,Sin pasivo,Sin conflicto
-76.12236,-11.60657,COMPAÑIA MINERA ARGENTUM S.A.,Argentum,Minería,Alto,Moderado,Alto,6-10,Sin pasivo,Sin conflicto
-76.21887,-10.61759,NEXA RESOURCES EL PORVENIR S.A.C.,Milpo N° 1,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-74.79002,-12.91147,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Julcani,Minería,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-76.30685,-11.81439,CMC CRITICAL MINERALS CORPORATION S.A.C.,Coricancha,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-77.01791,-9.86993,CIA MINERA SANTA LUISA S A,Huanzala,Minería,Alto,Moderado,Muy alto,11-más,Sin pasivo,Sin conflicto
-72.32757,-14.07616,MINERA LAS BAMBAS S.A.,Las Bambas,Minería,Alto,Alto,Alto,6-10,Sin pasivo,Alto
