lon,lat,NOM_COMP,TIPO_COMP,estado_dr,unidad,administrado,subsector,area_m2
-80.8492,-6.08198,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,1990838.9634134
-80.85871,-6.07352,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,977414.24499351
-80.86741,-6.07291,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,787424.71961722
-80.84925,-6.07455,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,1349701.76452995
-80.84212,-6.06951,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,473337.83563813
-80.83572,-6.05354,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,4607902.56198987
-80.83391,-6.02283,Depósito de relaves Fosfatos Bayovar (preliminar - referencia),Depósito,Operación,Fosfatos Bayovar,COMPAÑIA MINERA MISKI MAYO S.R.L.,Minería,13600.61496802
-72.17255,-15.03562,Depósito de relaves Ares (preliminar - referencia),Depósito,Operación,Ares,COMPANIA MINERA ARES S.A.C.,Minería,324771.30405012
-73.13949,-14.66086,Depósito de relaves Selene (preliminar - referencia),Depósito,Operación,Selene,COMPANIA MINERA ARES S.A.C.,Minería,95031.24617847
-73.14165,-14.65848,Depósito de relaves Selene (preliminar - referencia),Depósito,Operación,Selene,COMPANIA MINERA ARES S.A.C.,Minería,129482.43921751
-73.06503,-15.91762,Depósito de relaves San Juan de Chorunga (preliminar - referencia),Depósito,Operación,San Juan de Chorunga,CENTURY MINING PERU S.A.C.,Minería,10301.1948495
-73.06631,-15.91711,Depósito de relaves San Juan de Chorunga (preliminar - referencia),Depósito,Operación,San Juan de Chorunga,CENTURY MINING PERU S.A.C.,Minería,20368.19350498
-73.05978,-15.91305,Depósito de relaves San Juan de Chorunga (preliminar - referencia),Depósito,Operación,San Juan de Chorunga,CENTURY MINING PERU S.A.C.,Minería,256878.07028722
-73.05076,-15.90571,Depósito de relaves San Juan de Chorunga (preliminar - referencia),Depósito,Operación,San Juan de Chorunga,CENTURY MINING PERU S.A.C.,Minería,3823.45368629
-71.31813,-14.9006,Depósito de relaves Antapaccay - Expansión Tintaya (preliminar - referencia),Depósito,Operación,Antapaccay - Expansión Tintaya,COMPAÑIA MINERA ANTAPACCAY S.A.,Minería,3400025.53957905
