lon,lat,codigo,federacion,zona,tipo_impacto,fuente_impacto,antiguedad,lote,empresa,anio,detecto,descripcion,ubicacion,remediacion,responsable,estado_validacion
-76.19300763,-2.56166389,CAS201101,FECONACO,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2011,2011-05-18,Afectó a la zona de pesca y caza de las comunidad José Olaya y  Huayurí Norte; también afectó a la quebrada Timo entsa.,En el pozo 1x km 3 Huayuri Norte.,,Ale,1. Validado parcial
-76.192909,-2.5601403,CGS200811,FECONACO,,fuga,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2008,2008-05-24,Crudo derramado de un camión.,Batería Huayurí.,,Ale,1. Validado parcial
-76.192642,-2.561895,CES201702,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2017,2017-05-18,,Batería Dorissa.,,Ana Paula,2. Validado final
-76.19256256,-2.56189682,CFS201704,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2016,2016-05-18,"Los monitores ambientales informaron que el evento había afectado al medioambiente, encontrando peces muertas. El sitio aún no había sido remediado.","Pozo 18, km 5. Batería Shiviyacu.",,Lady,1. Validado parcial
-76.192324,-2.773941,CRS201806,FECONACO,,Botadero,,,Lote 1AB/192,Occidental Petroleum,2018,2018-04-22,Un oleoducto abandonado. Es una expedición de OEFA.,En territorio de la comunidad Nueva Jerusalén.,,Ana Paula,2. Validado final
-76.183819,-2.62001,CSS201901,FECONACOR,Dorissa,Derrame de crudo,oleoducto,Nuevo,Lote 1AB/192,Frontera Energy,,14/05/2019,"Derrame Nuevo carretera Km 11 Dorissa a. Huayuri, afecta quebrada Libre",Nueva Jerusalén,,Laura,1. Validado parcial
-76.16748,-2.484347,CGS200812,FECONACO,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2008,2008-02-27,Fuga de tubería.,Batería Shiviyacu.,,Claudia,2. Validado final
-76.165628,-2.337842,CNS20213,FECONACOR,Forestal Shiviyacu Carmen Huayurí Huayurí Norte,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2021.0,2021-05-02,Derrames dejados por Frontera en Forestal; quebrada contaminada,"Forestal, José Olaya",,,
-76.165619,-2.337145,CNS20215,FECONACOR,Forestal Shiviyacu Carmen Huayurí Huayurí Norte,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2021.0,2021-05-02,Derrames dejados por Frontera en Forestal; suelo contaminado al lado de carretera,"Forestal, José Olaya",,,
-76.165295,-2.337173,CNS20228,FECONACOR,"Forestal, Shiviyacu, Carmen, Huayurí, Huayurí Norte",Derrame de crudo,Pozo,Antiguo,Lote 1AB/192,Frontera Energy,2021.0,2022-10-10,"La primera vez que identificaron el derrame, cuando estaba Frontera Energy, la empresa no lo había reportado, y las comunidades no saben en que fecha ocurrió. Frontera Energy realiza una limpieza, no muy buena, pero el 15 de marzo del 2021 otra vez vuelve a ocurrir un incidente en el mismo lugar, y ","Shiíyacu 12km + 25 km de la comunidad. Hay carretera de José Olaya a Shiviyacu, y también hay carretera hasta el Yacimiento pozo 10 que está contaminado.",,,
-76.165232,-2.337001,CNS20212,FECONACOR,Forestal Shiviyacu Carmen Huayurí Huayurí Norte,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2021.0,2021-05-02,Derrames dejados por Frontera en Forestal; suelo contaminado,"Forestal, José Olaya",,,
-76.165214,-2.337381,CNS20214,FECONACOR,Forestal Shiviyacu Carmen Huayurí Huayurí Norte,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2021.0,2021-05-02,Derrames dejados por Frontera en Forestal; Pozo con piscina de crudo al lado,"Forestal, José Olaya",,,
-76.164723,-2.341786,CNS20195,FECONACOR,"Forestal, Shiviyacu, Carmen, Huayurí, Huayurí Norte",Derrame de crudo,Pozo,Nuevo,Lote 1AB/192,Frontera Energy,,18/12/2019,"Tanque sumidero, area afectada 50m2, contaminación de suelo y agua,","Pozo 5 de Forestal, comunidad José Olaya",,Laura,1. Validado parcial
