lon,lat,nombre,tipo,etnia,familia_ling,federacion,zona
-75.85488,-5.32438,Vista Alegre,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,No Existe,Huallaga
-75.72985,-5.29508,Ocho de Octubre,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.8159,-5.45209,Achual Tipishca,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.88809,-5.39636,Atahualpa,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.83018,-5.48474,Esperanza de Yuracyacu,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.91624,-4.8632,Junín de Pavayacu,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FECONAP,Nucuray
-75.87535,-5.43628,Naranjal,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-76.01205,-4.80579,Nuevo Mundo de Pavayacu,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FPICOP,Nucuray
-76.10315,-4.72306,Nueva Creación,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FPICOP,Nucuray
-75.56671,-5.03425,Nuevo San José,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Marañón
-75.81876,-4.93029,Nuevo Triunfo,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Nucuray
-75.81228,-5.4162,Pampa Hermosa,Principal,Chamicuro,Arawak,CHAMICURO,Huallaga
-75.80164,-4.80587,Puerto Alegre,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OKAN,Nucuray
-75.61601,-5.0274,Puerto Auxilio,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Marañón
-75.59769,-5.07088,Puerto Victoria,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Marañón
-76.05727,-4.76693,San Juan de Pavayacu,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FPICOP,Nucuray
-75.82278,-4.79113,San Pedro del Estreno,Principal,Candoshi (Kandozi),Candoshi,OKAN,Nucuray
-75.51856,-4.94612,Santa Isabel,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Nucuray
-75.8197,-5.31215,Tamarate,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.89723,-5.4456,Yahuarhuaca,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-76.66513,-5.68204,Alianza Huitoyacu,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
-76.62631,-5.61981,Atahualpa,Anexo,Chayahuita (Shawi),Cahuapana,OSHAYAP,Huallaga
