lon,lat,anp_cate,anp_codi,anp_nomb,anp_suleg,anp_uicn,anp_balec,anp_felec
-80.86796,-6.444,Reserva Nacional,RN13.01,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Lobos de Tierra",18278.9,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-80.7338,-6.94786,Reserva Nacional,RN13.02,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Lobos de Afuera",8265.13,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-79.5074,-7.8139,Reserva Nacional,RN13.03,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Macabí",8015.76,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-78.97197,-8.55989,Reserva Nacional,RN13.04-05,"Sistema de Islas, Islotes y Puntas Guaneras - Islas Guañape Norte y Guañape Sur",8487.36,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-78.80472,-8.75729,Reserva Nacional,RN13.06,"Sistema de Islas, Islotes y Puntas Guaneras - Isla Chao",4495.28,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-78.70731,-8.94513,Reserva Nacional,RN13.07,"Sistema de Islas, Islotes y Puntas Guaneras - Islote Corcovado",5228.21,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-77.682,-11.32885,Reserva Nacional,RN13.13-15,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Salinas, Isla Huampanú e Isla Mazorca",14207.8,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-75.27574,-2.58086,Reserva Nacional,RN14,Pucacuro,637953.83,VI - Uso sostenible de recursos naturales,D.S. N° 015-2010-MINAM,1287792000000
-79.19084,-6.64985,Refugio de Vida Silvestre,RVS03,Bosques Nublados de Udima,2259.15,IV - Conservar el hábitat por intervención controlada,D.S. N° 020-2011-MINAM,1311206400000
-75.98008,-11.2136,Santuario Histórico,SH01,de Chacamarca,2500,III - Conservación de características naturales únicas,D.S. N° 0750-1974-AG,145065600000
-74.1175,-13.03443,Santuario Histórico,SH02,de la Pampa de Ayacucho,300,III - Conservación de características naturales únicas,D.S. N° 119-1980-AA,335059200000
-72.50056,-13.22866,Santuario Histórico,SH03,Machupicchu,32592,III - Conservación de características naturales únicas,D.S. N° 001-1981-AA,347760000000
-71.84972,-17.15639,Santuario Nacional,SN03,Lagunas de Mejía,690.6,III - Conservación de características naturales únicas,D.S. N° 015-1984-AG,446428800000
-72.90103,-13.57584,Santuario Nacional,SN04,de Ampay,3635.5,III - Conservación de características naturales únicas,D.S. N° 042-1987-AG,553996800000
-76.34323,-10.94641,Santuario Nacional,SN01,de Huayllay,6815,III - Conservación de características naturales únicas,D.S. N° 0750-1974-AG,145065600000
-79.77831,-6.46985,Santuario Histórico,SH04,Bosque de Pomac,5887.38,III - Conservación de características naturales únicas,D.S. N° 034-2001-AG,991353600000
-78.29719,-8.34922,Santuario Nacional,SN02,de Calipuy,4500,III - Conservación de características naturales únicas,D.S. N° 004-1981-AA,347760000000
-80.28568,-3.42773,Santuario Nacional,SN05,los Manglares de Tumbes,2972,III - Conservación de características naturales únicas,D.S. N° 018-1988-AG,573264000000
-72.49633,-12.25552,Santuario Nacional,SN06,Megantoni,215868.96,III - Conservación de características naturales únicas,D.S. N° 030-2004-AG,1092700800000
-75.48763,-11.0345,Santuario Nacional,SN07,Pampa Hermosa,11543.74,III - Conservación de características naturales únicas,D.S. N° 005-2009-MINAM,1238025600000
-79.2545,-5.1748,Santuario Nacional,SN08,Tabaconas-Namballe,32124.87,III - Conservación de características naturales únicas,D.S. N° 051-1988-AG,580089600000
-78.15947,-5.52625,Santuario Nacional,SN09,Cordillera de Colán,39215.8,III - Conservación de características naturales únicas,D.S. N° 021-2009-MINAM,1260316800000
-75.26833,-10.29436,Reserva Comunal,RC01,Yanesha,34744.7,VI - Uso sostenible de recursos naturales,R.S. N° 0193-1988-AG-DGFF,578188800000
-77.20955,-16.33398,Reserva Nacional,RN16,Dorsal de Nasca,6239205.75,VI - Uso sostenible de recursos naturales,D.S. Nº 008-2021-MINAM,1622851200000
-80.78928,-4.31193,Coto de Caza,CC01,El Angolo,65000,VI - Uso sostenible de recursos naturales,R.S. N° 0264-1975-AG,173404800000
-74.95985,-10.52102,Bosque de Protección,BP04,San Matias-San Carlos,145818,VI - Uso sostenible de recursos naturales,R.S. N° 0101-1987-AG/DGFF,543196800000
-81.04411,-5.96226,Reserva Nacional,RN17,Illescas,36550.7,VI - Uso sostenible de recursos naturales,D.S. N° 038-2021-MINAM,1640304000000
-80.45517,-3.97554,Parque Nacional,PN05,Cerros de Amotape,152045.13,II - Protección de Ecosistemas y Recreación,D.S. N° 0800-1975-AG,175219200000
-81.23738,-4.20979,Reserva Nacional,RN18,Mar Tropical de Grau,16618.66,VI - Uso sostenible de recursos naturales,D.S. N° 003-2024-MINAM,1714089600000
-81.16006,-3.51989,Reserva Nacional,RN18,Mar Tropical de Grau,51776.48,VI - Uso sostenible de recursos naturales,D.S. N° 003-2024-MINAM,1714089600000
-81.19441,-5.25072,Reserva Nacional,RN18,Mar Tropical de Grau,28845.65,VI - Uso sostenible de recursos naturales,D.S. N° 003-2024-MINAM,1714089600000
-80.98164,-3.92874,Reserva Nacional,RN18,Mar Tropical de Grau,18435.1,VI - Uso sostenible de recursos naturales,D.S. N° 003-2024-MINAM,1714089600000
-70.84207,-2.66495,Reserva Comunal,RC11,Bajo Putumayo Yaguas,160604.41,VI - Uso sostenible de recursos naturales,D.S. Nº 020-2025-MINAM,1758844800000
